MASTER_CAMPAIGN_ID,MEDIA_TYPE,OBJ_PRIORITY,OBJECTIVE,METRIC,PRODUCT,TIMEPERIOD,EXPOSED,CONTROL,UPLIFT,PCT_UPLIFT
i2c1510047a,"Six Sheets1, Instore Sampling3",1,Acquire new customers,New_custs,Brand,3,279,182.009401,96.990599,0.532888
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",3,Grow total units,Units,Brand,3,894,817.215669,76.784331,0.093958
i2c1507187a,"Six Sheets1, TV Wall1",1,Grow frequency of shop per customer,FOP,Brand,3,1.235995,1.263388,-0.027393,-0.021682
i2c1507187a,"Entrance Gates1, Six Sheets1, TV Wall1",2,Acquire new customers,New_custs,Offer,3,145,85.040922,59.959078,0.705061
i2c1509134a,"Six Sheets1, TV Wall1",0,Overview,Units,Brand,3,39412,35269.70591,4142.29409,0.117446
i2c1510047a,"JS Magazine1, Six Sheets1, JS Magazine2",0,Overview,Known_spend,Offer,3,29.58,56.135926,-26.555926,-0.473065
i2c1510047a,Other,1,Acquire new customers,New_custs,Offer,2,2222,1103,1119,1.014506
i2c1509134a,"Six Sheets1, TV Wall1",0,Overview,Known_spend,Brand,3,126088.44,111392.4984,14695.94165,0.131929
i2c1507187a,TV Wall1,2,Acquire new customers,New_custs,Offer,2,17105,10365.84811,6739.151892,0.65013
i2c1507187a,"Entrance Gates1, Six Sheets1, TV Wall1",0,Overview,Units,Brand,3,36038,32896.58452,3141.415481,0.095494
i2c1510047a,Six Sheets1,0,Overview,Known_spend,Offer,3,33101.05,35078.75187,-1977.701866,-0.056379
i2c1510047a,Instore Sampling3,0,Overview,Known_spend,Offer,3,1531.24,1172.427206,358.812794,0.306043
i2c1507187a,"Entrance Gates1, Six Sheets1",3,Retain new customers (trialists),New_trialists,Offer,3,287,254.499259,32.500741,0.127705
i2c1510047a,"Six Sheets1, Instore Sampling2",1,Acquire new customers,New_custs,Offer,3,62,43,19,0.44186
i2c1510047a,"Instore Sampling1, Six Sheets1",1,Acquire new customers,New_custs,Offer,2,2660,1555,1105,0.710611
i2c1510047a,"Instore Sampling1, Six Sheets1, Instore Sampling2",3,Grow total units,Units,Offer,3,369,300.924178,68.075822,0.226223
i2c1510047a,"JS Magazine1, Six Sheets1",3,Grow total units,Units,Brand,3,1241,836.646786,404.353214,0.483302
i2c1510047a,Other,3,Grow total units,Units,Brand,2,23069,11056.02939,12012.97061,1.086554
i2c1509134a,"JS Magazine1, TV Wall1",2,Grow spend per existing customer,SPEC,Brand,3,5.313168,5.302864,0.010304,0.001943
i2c1507187a,Six Sheets1,0,Overview,Known_spend,Brand,3,132468.9,129375.811,3093.089049,0.023908
i2c1510047a,Instore Sampling3,0,Overview,Known_spend,Brand,2,1606.27,1240.85272,365.41728,0.294489
i2c1510047a,JS Magazine1,0,Overview,Known_spend,Offer,3,9303.02,6441.24811,2861.77189,0.444288
i2c1510047a,"JS Magazine1, JS Magazine2",0,Overview,Known_spend,Offer,3,188.08,178.679169,9.400831,0.052613
i2c1510047a,Six Sheets1,0,Overview,Known_spend,Brand,3,54566.75,60083.85584,-5517.105835,-0.091823
i2c1510047a,"Six Sheets1, Instore Sampling3",0,Overview,Known_spend,Offer,2,8814.74,5502.018212,3312.721788,0.602092
i2c1507187a,Six Sheets1,2,Acquire new customers,New_custs,Offer,3,141,92.128092,48.871908,0.530478
