campaign_id,date,product,results
i2c1510047axx,2016/01/05,Offer,0
i2c1510047axx,2015-09-15,Offer,0
i2c1510047axx,2015-09-22,Offer,0
i2c1510047axx,2015-10-27,Offer,0
i2c1510047a,2015-10-19,Offer,1
i2c1510047a,2015-08-17,Offer,0
i2c1510047a,2015-11-30,Offer,1
i2c1510047a,2015-09-07,Offer,1
i2c1510047a,2015-09-14,Offer,1
i2c1509134a,2015-11-24,Brand,0.14
i2c1509134a,2015-09-22,Brand,0
i2c1509134a,2015-11-17,Brand,0.14
i2c1509134a,2015-10-13,Brand,0.14
i2c1509134a,2016/01/05,Brand,0.14
