MASTER_CAMPAIGN_ID,CAMPAIGN_NAME,SUPPLIER,BRAND,CATEGORY,NPD,MEDIA_COST
"i2c1510108a","Grants Xmas Promo Activation","William Grant & Sons","First Drinks Brands Brand(s)","BEERS, WINES & SPIRITS",0,24947
"i2c1507176a","Inbev - Stella Cidre C10","InBev UK Ltd","Stella Artois Cidre","BEERS, WINES & SPIRITS",0,25250
"i2c1509010a","Natures Path Gluten Free Cereal","Eurobrand Partners","Natures Path","CANNED & PACKAGED",0,25250
"i2c1509069a","Colmans Seasoning Mix Sampling","Unilever UK Ltd","Colmans","CANNED & PACKAGED",0,25250
"i2c1507173a","Knorr cubes sampling ","Unilever","Knorr","CANNED & PACKAGED",1,25250
"i2c1510041a","Grey Goose Xmas Mag Special Feature","Bacardi Brown Forman Brands","Grey Goose","BEERS, WINES & SPIRITS",0,25660
"i2c1508223a","Knorr Stock Pots Sampling","Unilever UK Ltd","Knorr","CANNED & PACKAGED",0,25750
"i2c1508204a","Capri-Sun BTS 6 sheets","Coca Cola Enterprises Ltd","Coca Cola Enterprises Ltd Brand(s)","IMPULSE FOOD",0,26000
"i2c1508107a","Princes - Branston Beans Love or Money Back","Princes Ltd","Branston","CANNED & PACKAGED",0,27383
"i2c1510074a","WGS Xmas Activation","William Grant & Sons","Sailor Jerry","BEERS, WINES & SPIRITS",0,28280
"i2c1510116a","Kelloggs Coco and Rice mini biscuits sampling","Kellogg Marketing & Sales Co UK Ltd","Kelloggs Coco Pops","IMPULSE FOOD",0,29038
"i2c1509022a","Milicano Dark campaign - Nov 2015","D. E. Master Blenders 1753 N.V.","Douwe Egberts","CANNED & PACKAGED",0,29200
"i2c1508281a","Mr Kipling Deluxe Whirls sampling","Premier Foods Group Ltd","Mr Kipling","BAKERY & CAFES",0,29250
"i2c1535KE0","Back to School","Kelloggs","KELLOGGS","CANNED & PACKAGED",1,29869
"i2c1510003a3","P&G Beauty Xmas","Procter & Gamble UK","Braun","ELECTRICAL & LEISURE",0,29900
"i2cBRAUNV2","P&G Beauty Xmas","Procter & Gamble UK","Braun","ELECTRICAL & LEISURE",0,29900
"i2cBRAUNV4","P&G Beauty Xmas","Procter & Gamble UK","Braun","ELECTRICAL & LEISURE",0,29900
"i2c1507181a","BTS","Yoplait","FRUBES","DAIRY",0,30000
"i2c1508186a","General Mills - Old El Paso S&S Promo Support","General Mills Sarl","Old El Paso","CANNED & PACKAGED",0,30000
"i2c1508186a2","General Mills - Old El Paso S&S Promo Support","General Mills Sarl","Old El Paso","CANNED & PACKAGED",0,30000
"i2c1510008a","Mikado 6 sheets Oct 2015","Mondelez UK Limited","Mikado","CANNED & PACKAGED",0,30000
"i2c1510008a","Mikado 6 sheets Oct 2015","Mondelez UK Limited","Mikado","IMPULSE FOOD",0,30000
"i2c1510013a","Wrigley - Wrigley Halloween 2015","The Wrigley Company Ltd","Wrigleys","IMPULSE FOOD",0,30000
"i2c1510054a","Ferrero Sampling","Ferrero UK Ltd","Ferrero Rocher","IMPULSE FOOD",0,30300
"i2c1510054a2","Ferrero Sampling","Ferrero UK Ltd","Ferrero Rocher","IMPULSE FOOD",0,30300
"i2c1509107a2","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2c1509107a6","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2c1509107a7","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2cFAIFEV2","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2cFAIFEV4","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2cFAINBV2","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2cFAINBV4","P&G Christmas Household","Procter & Gamble UK","Fairy","HOUSEHOLD & PETCARE",0,30383
"i2c1512046a","Mars Choc M&Ms Christmas Box ","Mars Chocolate UK Ltd","M&Ms","IMPULSE FOOD",0,30500
"i2c1510007a","Jamie Oliver RTE Pulses","Fiddes Payne","Jamie Oliver","CANNED & PACKAGED",0,31030
"i2c1511003a","Kingsmill Soft and Thick white C14 Xmas comp","Allied Bakeries","Kingsmill","BAKERY & CAFES",0,31444
"i2c1511103a","C15_Pepsico_Naked_6 sheets","PepsiCo","Naked","DAIRY",0,32250
