MASTER_CAMPAIGN_ID,MEDIA,START_DATE,END_DATE,EVALUATE
"i2c1508223a","Instore Sampling3",2015-11-28,2015-11-28,1
"i2c1507210a","Instore Sampling1",2015-11-13,2015-11-13,1
"i2c1507210a","Instore Sampling2",2015-11-14,2015-11-14,1
"i2c1509125a","Instore Sampling1",2015-12-08,2015-12-08,1
"i2c1509125a","Instore Sampling2",2015-12-10,2015-12-10,1
"i2c1509125a","Instore Sampling5",2015-12-15,2015-12-15,1
"i2c1509125a","Instore Sampling4",2015-12-09,2015-12-09,1
"i2c1509125a","Instore Sampling3",2015-12-16,2015-12-16,1
"i2c1509125a","JS Magazine1",2015-10-27,2015-12-01,1
"i2c1509125a","TV Wall1",2015-10-28,2015-11-17,1
"i2c1509125a","Six Sheets1",2015-11-02,2015-11-15,1
"i2cFAIDADWV4","Six Sheets2",2015-10-05,2015-10-18,1
"i2cFAIDADWV4","Six Sheets1",2015-10-05,2015-10-18,1
