MASTER_CAMPAIGN_ID,PRODUCT,METRIC,PP_RESULTS
"i2c1506058aM","Rest of Cat","average_spend ",25251.130000
"i2c1508265a","Offer     ","average_spend ",31633.880000
"i2c1508265a","Offer     ","sales_growth  ",-0.104000
"i2c1506032M2","Whole Earth","average_spend ",
"i2c1505012aM","Suckies   ","average_spend ",3939.470000
"i2c1506032M2","Brand     ","category_share",0.065000
"i2c1507192a","Cheestrings","sales_growth  ",-0.126000
"i2c1537AH0a","Brand     ","average_spend ",193986.660000
"i2c1504065aM","Rest of Cat","category_share",0.003000
"i2c1507173a","Rest of Cat","sales_growth  ",-0.303000
"i2c1508013a","JORDANS   ","average_spend ",254225.660000
"i2c1508061a","DAIRYLEA    ","sales_growth  ",0.073000
"i2c1507181a","Aisle     ","average_spend ",539955.410000
"i2c1506032M1","Brand     ","average_spend ",14960.490000
"i2c1509002a","Brand     ","average_spend ",225415.000000
"i2c1508118a","Offer     ","category_share",0.241000
"i2c1508040a","JS        ","sales_growth  ",0.050000
"i2c1509061a","Aisle        ","category_share",1.000000
"i2c1509134a","Offer     ","average_spend ",82374.680000
"i2c1509134a","JS           ","average_spend ",421068.800000
"i2c1509030a","Rest of Cat","average_spend ",593300.230000
"i2c1508118a","Brand     ","category_share",0.278000
"i2c1509061a","Offer     ","category_share",0.054000
"i2c1509061a","JS        ","average_spend ",96108.450000
"i2c1509030a","Cadburymilktray","sales_growth  ",-0.161000
"i2c1509107a3","Brand     ","average_spend ",264795.040000
"i2c1509107aA","JS        ","category_share",0.115000
"i2c1509107a3","Rest of Cat","sales_growth  ",-0.005000
"i2c1509107a4","JS Ultimate   ","average_spend ",5550.200000
"i2c1509107a3","Persil     ","sales_growth  ",0.358000
"i2c1509107aF","Offer     ","sales_growth  ",-0.025000
"i2c1509107a5","Brand     ","average_spend ",97764.540000
"i2c1509107a5","JS        ","average_spend ",18036.520000
"i2c1509107a4","Rest of Cat","average_spend ",438255.290000
"i2c1507203a","Aisle               ","average_spend ",6986306.780000
"i2c1507204a","Brand               ","category_share",0.056000
"i2c1507203a","Irnbru    ","sales_growth  ",0.119000
"i2c1507203a","Appletiser","average_spend ",32305.790000
"i2c1507203a","Rest of Cat","category_share",0.865000
"i2c1508098a","Nescafe shakisimo   ","average_spend ",7408.280000
"i2c1509018a","Aisle               ","sales_growth  ",-0.092000
"i2cLYNX777","JS        ","average_spend ",25955.110000
"i2c1511028a","Basics    ","category_share",0.029000
"i2c1511028a","TTD       ","category_share",0.286000
"i2c1511028a","Aisle                         ","sales_growth  ",-0.022000
"i2c1511028a","Offer     ","sales_growth  ",-0.035000
"i2c1508203a","Rest of Cat","sales_growth  ",1.662000
"i2c1507176a","Offer      ","category_share",0.032000
"i2c1507030a","Rest of Cat","average_spend ",398566.320000
"i2c1508203a","JS Own Label","sales_growth  ",-0.998000
"i2c1510047a","Aisle     ","sales_growth  ",-0.930000
"i2c1508257aS","Malibu                ","category_share",0.008000
"i2c1508257a","Woodford Reserve","category_share",0.000000
"i2c1508257a","Makers Mark     ","sales_growth  ",-0.356000
"i2c1508257a","Jim Beam        ","average_spend ",31572.600000
"i2c1508257aS","JS              ","average_spend ",1599815.950000
"i2c1508257aS","JS              ","sales_growth  ",-0.058000
"i2c1508281a","JS        ","sales_growth  ",0.072000
"i2c1508281a","Rest of Cat","sales_growth  ",0.227000
"i2c1509046a","Offer     ","category_share",0.026000
"i2c1509046a","Boursin   ","sales_growth  ",-0.270000
"i2c1508281a","Mcvities  ","average_spend ",48178.630000
"i2c1509107a7","Rest of Cat","category_share",0.057000
"i2c1509107aL","Offer         ","average_spend ",50390.120000
"i2c1509107a7","Comfort   ","average_spend ",355105.040000
"i2c1509107a1","Offer         ","sales_growth  ",0.173000
"i2c1509107a7","Offer     ","category_share",0.073000
"i2c15FAINB","Aisle     ","average_spend ",2295222.300000
"i2c15FAIFE","Brand         ","sales_growth  ",0.011000
"i2c1507209a","Brand     ","average_spend ",63391.430000
"i2c1510074a","Offer         ","category_share",0.003000
"i2c1507209a","Aisle     ","average_spend ",466162.480000
"i2c1507209a","Offer     ","sales_growth  ",-0.153000
"i2cLYNX111","Offer                         ","sales_growth  ",0.000000
"i2cLYNX222","Total APA                     ","category_share",0.332000
"i2c1512046a","Rest of Cat","average_spend ",3908198.850000
"i2cLYNX111","Rest of Cat","category_share",0.396000
"i2cLYNX111","Total Body Sprays             ","average_spend ",135007.920000
"i2c1507095a","Offer     ","sales_growth  ",0.000000
"i2c1507095a","Aisle           ","sales_growth  ",-0.031000
"i2c1509107a2","Persil non bio","average_spend ",108393.440000
"i2c1504064aM","JS        ","average_spend ",-29655.890000
"i2c1510003aG","Offer          ","average_spend ",77785.830000
"i2c1510003aV","Wilkinson Sword","sales_growth  ",0.002000
"i2c1510003aV","Aisle           ","average_spend ",222215.520000
"i2c1507187a","Rest of Cat","category_share",0.652000
"i2c1510003aG","Rest of Cat","sales_growth  ",-0.997000
"i2c1504064aM","DIAMOND   ","average_spend ",11.120000
"i2c1508146a","Rest of Cat","sales_growth  ",0.366000
"i2c1510061a","Malibu    ","sales_growth  ",0.507000
"i2cFAINBV2","JS        ","category_share",0.115000
"i2c1510061a","Absolut   ","category_share",0.054000
"i2c1510061a","Aisle        ","average_spend ",2566863.800000
"i2c1510061a","Brand           ","category_share",0.005000
"i2cHSV2","Aisle        ","category_share",1.000000
"i2cFLASHV2","CIF       ","category_share",0.077000
"i2cGILLEV2","Brand     ","category_share",0.848000
"i2cFAINBV2","Aisle           ","sales_growth  ",0.005000
"i2cFAINBV2","Persil non bio","average_spend ",108393.440000
"i2c1510062a","Rest of Cat","average_spend ",142840.910000
"i2cFAIDHDWV3","Brand      ","category_share",0.631000
"i2c1510062a","Remy Martin VSOP Cognac","category_share",0.054000
"i2c1509029a","Offer     ","sales_growth  ",0.000000
"i2c1507161a","Aisle     ","category_share",1.000000
"i2c1510013a","Haribo    ","sales_growth  ",0.299000
"i2c1510013a","Brand     ","category_share",0.024000
"i2c1510003a1","Offer     ","average_spend ",21690.080000
"i2c1510003a1","Brand     ","sales_growth  ",-0.128000
"i2cLYNX666","Brand                         ","category_share",0.176000
"i2cLYNX666","Total Sticks Creams and Wipes ","category_share",0.028000
"i2c1510054a2","Offer     ","category_share",0.008000
"i2c1509124a","Heinz     ","category_share",0.016000
"i2c1601020a","Brand     ","category_share",0.119000
"i2c1511015a","JS              ","sales_growth  ",-0.400000
"i2c1601020a","JS        ","average_spend ",80991.680000
"i2c1508186a","Rest of Cat","sales_growth  ",-0.022000
"i2c1508186a","Brand       ","sales_growth  ",-0.086000
"i2c1508186a","Aisle       ","category_share",1.000000
"i2c1509106a2","Littleones","average_spend ",248279.050000
"i2c1509014a","Vimto     ","category_share",0.079000
"i2c1508250a","Rest of Cat","category_share",0.727000
"i2c1509116a","Aisle        ","average_spend ",123796.190000
"i2c1509116a","Aisle        ","sales_growth  ",-0.223000
"i2c1508124a","Aisle        ","average_spend ",366018.850000
"i2c1508124a","Aisle     ","sales_growth  ",-0.108000
"i2c1509106a2","Rest of Cat","average_spend ",27484.130000
"i2c1508169a2","Offer       ","average_spend ",4674.700000
"i2c1508250a","Tropical sun","category_share",0.002000
"i2c1509106a","Huggies   ","category_share",0.174000
"i2c1509106a2","Nature    ","category_share",0.015000
"i2c1508124a","Rest of Cat","category_share",0.408000
"i2c1509004a","JS                            ","average_spend ",80787.650000
"i2cLYNX333","Total Sticks Creams and Wipes ","average_spend ",23747.290000
"i2c1509004a","Aisle                         ","average_spend ",346943.050000
"i2c1508186a2","JS Own Label","category_share",0.032000
"i2c1511135a","GoAhead           ","category_share",0.106000
"i2c1509016a","Brand          ","average_spend ",171731.490000
"i2c1510052a","JS             ","average_spend ",22458.650000
"i2c1509016a","JS             ","category_share",0.419000
"i2c1510052a","BENECOL   ","category_share",0.270000
"i2c1512022P","Huggies       ","average_spend ",155697.180000
"i2c1512022P","Brand         ","sales_growth  ",-0.083000
"i2c1509016a","Albert Bartlett","sales_growth  ",0.000000
"i2c1510052a","Brand         ","sales_growth  ",-0.066000
"i2c1509069a","Bisto     ","category_share",0.000000
"i2c1508127a","Brand         ","sales_growth  ",-0.377000
"i2c1512024a","JS             ","average_spend ",72157.390000
"i2c1509004a2","Aisle        ","sales_growth  ",-0.081000
"i2c1512024a","Aisle               ","sales_growth  ",-0.011000
"i2c1511005a","Ritz Crisp & Thins","average_spend ",30870.720000
"i2c1512024a","Other branded ketchup","average_spend ",8560.210000
"i2c1512024a","JS Own Label         ","category_share",0.162000
"i2c1511003a","Offer     ","sales_growth  ",0.068000
"i2c1510116a","Aisle        ","category_share",1.000000
"i2c1510116a","JS           ","sales_growth  ",-0.461000
"i2cHSV4","JS        ","sales_growth  ",0.083000
"i2cGILLEV4","Offer          ","category_share",0.231000
"i2c1510136a","Rest of Cat","average_spend ",607038.710000
"i2cGILLEV4","Brand      ","category_share",0.848000
"i2cHSV4","Other Dandruff  ","average_spend ",3030.790000
"i2c1512047a","JS        ","average_spend ",282857.220000
"i2cVENUSV4","JS        ","category_share",0.069000
"i2cHSV4","Elvive Dandruff ","sales_growth  ",-0.033000
"i2cHSV4","Rest of Cat","category_share",0.584000
"i2c1509042a","Brand     ","category_share",0.169000
"i2cORALBV2","Rest of Cat","average_spend ",1450849.640000
"i2cFAIDADWV2","JS Ultimate   ","sales_growth  ",0.227000
"i2cFAIFEV2","Rest of Cat","category_share",0.057000
"i2cFABREV2","Oust      ","category_share",0.001000
"i2c1510041a","Offer     ","sales_growth  ",-0.381000
"i2cFAIDADWV2","Brand      ","average_spend ",264795.040000
"i2cOLAYV2","Loreal    ","sales_growth  ",-0.210000
"i2c1509103a","JS        ","category_share",0.026000
"i2c1509131a","Offer      ","category_share",0.008000
"i2cFAIFEV2","Comfort   ","category_share",0.387000
"i2c1509131a","Bottlegreen","sales_growth  ",0.086000
"i2cLENUNV2","Persil Bio","category_share",0.026000
"i2c1510041a","JS                 ","average_spend ",517329.810000
"i2cOLAYV2","Offer      ","sales_growth  ",0.012000
"i2cLENORV2","Aisle              ","average_spend ",916827.300000
"i2cFLASHV4","Brand     ","average_spend ",162725.180000
"i2cFAIFEV4","Brand     ","sales_growth  ",0.264000
"i2cFAIDHDWV4","Persil     ","sales_growth  ",0.358000
"i2cFAIDHDWV4","JS        ","average_spend ",110447.150000
"i2c1507212a","Chivas Regal 70cl       ","sales_growth  ",0.915000
"i2cFLASHV4","CIF       ","category_share",0.077000
"i2cLENORV4","Aisle     ","sales_growth  ",0.034000
"i2cFABREV4","Oust      ","average_spend ",600.990000
"i2cOLAYV4","JS        ","category_share",0.078000
"i2cOLAYV4","Aisle     ","category_share",1.000000
"i2c1509022a","NestleAzeera","sales_growth  ",0.061000
"i2cORALBV4","Offer     ","average_spend ",165850.170000
"i2cFAIDADWV4","Aisle     ","average_spend ",930604.900000
"i2cFAIDADWV4","Aisle     ","sales_growth  ",-0.055000
"i2cFABREV4","Airwick   ","category_share",0.014000
"i2cFAIFEV4","Aisle     ","average_spend ",916827.300000
"i2c1510020a2","Brand          ","sales_growth  ",-0.125000
"i2c1510020a2","Cirio       ","category_share",0.012000
"i2c1510020a2","DeCecco     ","category_share",0.014000
"i2c1509016a2","Sainsbuys      ","category_share",0.007000
"i2cLYNX888","Total APA                     ","category_share",0.332000
"i2cLYNX888","Brand                         ","category_share",0.176000
"i2cLYNX888","Total Roll-On                 ","category_share",0.066000
"TEST_JD","Aisle  ","average_spend ",5399038.680000
