MASTER_CAMPAIGN_ID,MEDIA_TYPE,EXPOSED
"i2c1510047a","Other",57384
"i2c1509125a","TV Wall1, Instore Sampling3",22722
"i2c1511015a","Trolleys1, TV Wall1, Six Sheets2",374640
"TEST_JD2","Other",37191
"ALAN_TEST","JS Magazine1, Trolleys1",47739
"i2cNEW-TOOL","Total",5393397
"i2c1507187a","Total",5226339
"i2cFAIDADWV2","Total",2443912
"i2c1508118a","Six Sheets1",2362752
"i2cOLAYV2","Entrance Gates1",1117301
"i2cFAIDADWV4","Six Sheets1, Six Sheets2",944990
"i2c1511003a","Trolleys1",1628116
"i2c1511015a","Entrance Gates1, Six Sheets2",35290
"i2c1509125a","Instore Sampling1, TV Wall1",18663
"i2c1507095a","JS Magazine1",72615
"i2c1510020a","Entrance Gates1",862795
"i2c1510020a2","Entrance Gates1",862746
"i2cFAIDADWV2","Six Sheets2",1498923
"i2cOLAYV4","Entrance Gates1",1117303
"i2c1512046a","Entrance Gates1",1818961
"i2c1510108a","Other",45059
"i2c1510003aH","Six Sheets1",1740195
"i2c1508179a","Total",309258
"i2c15FAIFE","Total",2759706
"i2c1509070a","Total",742141
"i2c1507204a","Other",35836
"i2c1510003a3","Six Sheets1",2156779
"i2c1509061a","Entrance Gates1, TV Wall1",1711125
"i2cORALBV4","Entrance Gates1",370014
"i2c1511028a","Six Sheets1",499601
"i2c1510033a","Six Sheets1, TV Wall1, TV Wall2",1256459
"i2c1510074a","Instore Sampling1",384105
"i2c1508179a","JS Magazine1",215762
"i2c1511135a","Instore Sampling1",127902
"i2c1508265a","Six Sheets1, Six Sheets3",20252
"i2c1509106a2","Entrance Gates1",3711910
"i2c1509016a","JS Magazine1, Six Sheets1, TV Wall1",48788
"i2c1510003aV","Six Sheets1",1276307
"i2c1508034a","Six Sheets1, Six Sheets2",86261
"i2c1510007a","Other",29720
"i2c1512047a","Total",2720596
"i2c1509046a","Total",267581
"i2c1509061a","Total",5219163
"i2c1504028aM","Total",129019
"i2c1508281a","Total",264650
"i2cORALBV2","Entrance Gates1, Six Sheets1",230978
"i2cLENUNV4","Six Sheets1, Six Sheets2",281332
"i2cARIALV4","Six Sheets1, Six Sheets2",281332
"i2cLENUNV4","Six Sheets1",308931
