MASTER_CAMPAIGN_ID,PERIOD,PERIOD_DATE
"i2c1504021aM",6,2015-07-28
"i2c1508206a",1,2015-08-05
"i2c1508206a",2,2015-10-27
"i2c1508206a",3,2015-10-28
"i2c1508206a",4,2015-11-03
"i2c1508206a",5,2015-11-04
"i2c1508206a",6,2015-12-15
"i2cGILLEV4",1,2015-09-21
"i2cGILLEV4",2,2015-12-13
"i2cGILLEV4",3,2015-12-14
"i2cGILLEV4",4,2016-01-03
"i2cGILLEV4",5,2016-01-04
"i2cGILLEV4",6,2016-02-14
"i2cFAIDHDWV3",1,2015-07-13
"i2cFAIDHDWV3",2,2015-10-04
"i2cFAIDHDWV3",3,2015-10-05
"i2cFAIDHDWV3",4,2015-10-18
"i2cFAIDHDWV3",5,2015-10-19
"i2cFAIDHDWV3",6,2015-11-29
"i2c1507151a",1,2015-06-29
"i2c1507151a",2,2015-09-20
"i2c1507151a",3,2015-09-21
"i2c1507151a",4,2015-10-04
"i2c1507151a",5,2015-10-05
"i2c1507151a",6,2015-11-15
"i2c1511135a",1,2015-10-12
"i2c1511135a",2,2016-01-03
"i2c1511135a",3,2016-01-04
"i2c1511135a",4,2016-01-17
"i2c1511135a",5,2016-01-18
"i2c1511135a",6,2016-02-28
"i2c1510003aV",1,2015-09-21
"i2c1510003aV",2,2015-12-13
"i2c1510003aV",3,2015-12-14
"i2c1510003aV",4,2016-01-03
"i2c1510020a",1,2015-08-04
"i2c1510020a",2,2015-10-26
"i2c1510020a",3,2015-10-27
"i2c1510020a",4,2016-02-02
"i2c1510020a",5,2016-02-03
"i2c1510020a",6,2016-03-15
"i2c1509048a",1,2015-08-21
"i2c1509048a",2,2015-11-12
"i2c1509048a",3,2015-11-13
"i2c1509048a",4,2015-11-13
"i2c1509048a",5,2015-11-14
"i2c1509048a",6,2015-12-25
"i2c1509111a2",1,2015-08-05
"i2c1509111a2",2,2015-10-27
"i2c1509111a2",3,2015-10-28
"i2c1509111a2",4,2016-01-03
"i2c1509111a2",5,2016-01-04
"i2c1509111a2",6,2016-02-14
"i2c1507076a",1,2015-05-05
"i2c1507076a",2,2015-07-27
"i2c1507076a",3,2015-07-28
"i2c1507076a",4,2015-09-12
"i2c1507076a",5,2015-09-13
"i2c1507076a",6,2015-10-24
"i2cARIALV2",1,2015-08-10
"i2cARIALV2",2,2015-11-01
"i2cARIALV2",3,2015-11-02
"i2cARIALV2",4,2015-11-15
"i2c1504064aM",1,2015-01-13
"i2c1504064aM",2,2015-04-06
"i2c1504064aM",3,2015-04-07
"i2c1504064aM",4,2015-05-05
"i2c1504064aM",5,2015-05-06
"i2c1504064aM",6,2015-07-28
"i2c1516KC0M1",1,2015-04-07
"i2c1516KC0M1",2,2015-06-29
"i2c1516KC0M1",3,2015-06-30
"i2c1516KC0M1",4,2015-07-28
"i2c1516KC0M1",5,2015-07-29
"i2c1516KC0M1",6,2015-10-20
