MASTER_CAMPAIGN_ID,SKU_NAME
"i2c1507151a","WALKERS CHICKEN & CHORIZO 6X25G"
"i2c1507151a","WALKERS CHICKEN CRISPS 6 X 25G"
"i2c1507151a","WALKERS CLASSIC VARIETY 25GX18 PKT"
"i2c1507151a","WALKERS DO US A FLAVOUR CHEESY SELCN X20"
"i2c1507151a","WALKERS DO US A FLAVOUR CHEESY SELCTN X6"
"i2c1507151a","WALKERS DO US A FLAVOUR MEATY SELCTN X20"
"i2c1507151a","WALKERS EXTRA FILL SALT & VIN 6PK 195G"
"i2c1507151a","WALKERS MARMITE CRISPS 6X25G"
"i2c1507151a","WALKERS MEATY 24X25G"
"i2c1507151a","WALKERS MEATY 25GX20PKT"
"i2c1507151a","WALKERS MEATY CRISPS 12X25G"
"i2c1507151a","WALKERS MEATY CRISPS 6 X 25G"
"i2c1507151a","WALKERS PRAWN COCKTAIL CRISPS 6 X 25G"
"i2c1507151a","WALKERS READY SALTED 25GX12PK"
"i2c1507151a","WALKERS READY SALTED CRISPS 6 X 25G"
"i2c1507151a","WALKERS SALT & VINEGAR CRISPS 6 X 25G"
"i2c1507151a","WALKERS SMOKEY BACON CRISPS 6 X 25G"
"i2c1507151a","WALKERS VARIETY 24X25G"
"i2c1507151a","WALKERS VARIETY 25GX12PKT"
"i2c1507151a","WALKERS VARIETY 25GX20PKT"
"i2c1507151a","WALKERS VARIETY CRISPS 350G 14PKT"
"i2c1507151a","WALKERS VARIETY MULTIPACK CRISPS 6 X 25G"
"i2c1507151a","WALKERS WORCESTER SAUCE 6X25G"
"i2c1507156a","ANDREX WHITE TOILET TISS 9X220 SHEETS"
"i2c1507161a","LINDT LINDOR TREAT BAR 38G"
"i2c1507173a","KNORR CHICKEN STOCK CUBES 20S 200G"
"i2c1507176a","STELLA ARTOIS CIDRE 568ML"
"i2c1507176a","STELLA ARTOIS CIDRE PEAR 568ML"
"i2c1507176a","STELLA CIDRE RASPBERRY 500ML"
"i2c1507181a","FRUBES TUBES 9X40G"
"i2c1507181a","PETITS FILOUS STRAWBERRY FRUBES 9X40G"
"i2c1507187a","COLGATE SENSITIVE PRO RELIEF +WHITE 75ML"
"i2c1507187a","COLGATE SENSITIVE PRO RELIEF MULTI 75ML"
"i2c1507187a","COLGATE SENSITIVE PRO RELIEF TPASTE 75ML"
"i2c1507192a","THE LAUGHING COW DIP N CRUNCH 140G"
"i2c1507192a","THE LAUGHING COW DIP N CRUNCH LIGHT 140G"
"i2c1507203a","ORANGINA 420ML"
"i2c1507204a","JS GRANA PADANO CHEESE 200G"
"i2c1507204a","TTD PROSCIUTTO DI SAN DANIELE 70G"
"i2c1507209a","CADBURY MILK TRAY 360G"
"i2c1507209a","CADBURY MILK TRAY 530G"
"i2c1507210a","TTD PARMIGIANO REGGIANO 200G"
"i2c1507212a","THE FAMOUS GROUSE SMOKY BLACK 70CL"
"i2c1508013a","QUAKER OAT GRANOLA APPLE & CINNAMON 550G"
"i2c1508013a","QUAKER OAT GRANOLA HONEY & ALMOND 550G"
"i2c1508013a","QUAKER OAT GRANOLA RAISIN 550G"
"i2c1508013a","QUAKER WARM & CRUNCHY APPLE & CNM 8X48G"
"i2c1508013a","QUAKER WARM & CRUNCHY WINTER FRUIT 8X48G"
"i2c1508013a","QUAKER WARM&CRUNCHY GOLDEN CRUNCH 8X48G"
